,date,World,Afghanistan,Africa,Albania,Algeria,American Samoa,Andorra,Angola,Anguilla,Antigua and Barbuda,Argentina,Armenia,Aruba,Asia,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia,Bonaire Sint Eustatius and Saba,Bosnia and Herzegovina,Botswana,Brazil,British Virgin Islands,Brunei,Bulgaria,Burkina Faso,Burundi,Cambodia,Cameroon,Canada,Cape Verde,Cayman Islands,Central African Republic,Chad,Chile,China,Colombia,Comoros,Congo,Cook Islands,Costa Rica,Cote d'Ivoire,Croatia,Cuba,Curacao,Cyprus,Czechia,Democratic Republic of Congo,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Estonia,Eswatini,Ethiopia,Europe,European Union,Faeroe Islands,Falkland Islands,Fiji,Finland,France,French Guiana,French Polynesia,Gabon,Gambia,Georgia,Germany,Ghana,Gibraltar,Greece,Greenland,Grenada,Guadeloupe,Guam,Guatemala,Guernsey,Guinea,Guinea-Bissau,Guyana,Haiti,High income,Honduras,Hungary,Iceland,India,Indonesia,Iran,Iraq,Ireland,Isle of Man,Israel,Italy,Jamaica,Japan,Jersey,Jordan,Kazakhstan,Kenya,Kiribati,Kosovo,Kuwait,Kyrgyzstan,Laos,Latvia,Lebanon,Lesotho,Liberia,Libya,Liechtenstein,Lithuania,Low income,Lower middle income,Luxembourg,Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Martinique,Mauritania,Mauritius,Mayotte,Mexico,Micronesia (country),Moldova,Monaco,Mongolia,Montenegro,Montserrat,Morocco,Mozambique,Myanmar,Namibia,Nauru,Nepal,Netherlands,New Caledonia,New Zealand,Nicaragua,Niger,Nigeria,Niue,North America,North Korea,North Macedonia,Northern Mariana Islands,Norway,Oceania,Oman,Pakistan,Palau,Palestine,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Pitcairn,Poland,Portugal,Puerto Rico,Qatar,Reunion,Romania,Russia,Rwanda,Saint Barthelemy,Saint Helena,Saint Kitts and Nevis,Saint Lucia,Saint Martin (French part),Saint Pierre and Miquelon,Saint Vincent and the Grenadines,Samoa,San Marino,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Sint Maarten (Dutch part),Slovakia,Slovenia,Solomon Islands,Somalia,South Africa,South America,South Korea,South Sudan,Spain,Sri Lanka,Sudan,Suriname,Sweden,Switzerland,Syria,Tajikistan,Tanzania,Thailand,Timor,Togo,Tokelau,Tonga,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Turks and Caicos Islands,Tuvalu,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States,United States Virgin Islands,Upper middle income,Uruguay,Uzbekistan,Vanuatu,Vatican,Venezuela,Vietnam,Wallis and Futuna,Yemen,Zambia,Zimbabwe
0,2021-01-31,2999907.0,1588.0,174416.0,1322.0,1032.0,0.0,106.0,435.0,0.0,8.0,38986.0,1987.0,61.0,254952.0,21.0,13883.0,4482.0,41.0,136.0,4231.0,24.0,2049.0,12128.0,439.0,28.0,17.0,7.0,7031.0,0.0,4760.0,613.0,198499.0,0.0,0.0,13177.0,280.0,0.0,0.0,146.0,30590.0,123.0,0.0,0.0,96.0,11827.0,261.0,71526.0,516.0,139.0,0.0,3182.0,100.0,8704.0,433.0,50.0,560.0,33860.0,588.0,6037.0,5.0,0.0,1242.0,5092.0,11914.0,1995.0,2.0,41.0,1282.0,2498.0,1226.0,1170901.0,745237.0,7.0,0.0,0.0,659.0,101881.0,35.0,140.0,25.0,32.0,4998.0,159500.0,472.0,430.0,7805.0,0.0,7.0,14.0,55.0,5282.0,0.0,12.0,0.0,68.0,57.0,1755200.0,2886.0,21737.0,7.0,41771.0,53715.0,20637.0,1677.0,7817.0,0.0,9484.0,103357.0,319.0,14713.0,162.0,3554.0,2242.0,636.0,0.0,1157.0,186.0,0.0,0.0,4441.0,10071.0,614.0,0.0,2644.0,92.0,7676.0,15700.0,252563.0,318.0,131.0,3069.0,1797.0,22.0,519.0,359.0,0.0,14.0,560.0,0.0,39.0,261786.0,0.0,3962.0,51.0,7.0,917.0,0.0,6760.0,1233.0,3401.0,1059.0,0.0,1571.0,18395.0,0.0,0.0,31.0,390.0,1973.0,0.0,999819.0,0.0,3204.0,0.0,903.0,216.0,216.0,11057.0,0.0,3861.0,9326.0,0.0,3319.0,60223.0,9413.0,0.0,62178.0,31572.0,1896.0,27.0,23.0,19463.0,113991.0,753.0,0.0,0.0,0.0,52.0,0.0,0.0,14.0,0.0,52.0,0.0,1233.0,1489.0,6426.0,21.0,11.0,0.0,6.0,17500.0,6452.0,0.0,18.0,108840.0,399603.0,3897.0,11.0,66335.0,737.0,1730.0,223.0,18161.0,12526.0,1558.0,8.0,0.0,109.0,0.0,56.0,0.0,0.0,62.0,13815.0,39156.0,0.0,12.0,0.0,151.0,31333.0,1090.0,242207.0,679871.0,7.0,976157.0,1742.0,0.0,0.0,0.0,1032.0,0.0,0.0,52.0,2155.0,5393.0
1,2021-02-28,2253755.0,311.0,101386.0,2575.0,661.0,0.0,77.0,275.0,0.0,54.0,25237.0,815.0,100.0,180989.0,7.0,7693.0,743.0,27.0,454.0,2109.0,148.0,1826.0,7366.0,141.0,154.0,0.0,0.0,9882.0,7.0,2864.0,1237.0,208045.0,0.0,0.0,7307.0,155.0,7.0,0.0,491.0,16391.0,107.0,0.0,0.0,130.0,14913.0,175.0,48834.0,438.0,57.0,0.0,1517.0,268.0,3926.0,726.0,14.0,279.0,27962.0,266.0,2097.0,9.0,0.0,3383.0,6326.0,9663.0,1642.0,34.0,1.0,1121.0,874.0,1649.0,795508.0,511973.0,0.0,0.0,0.0,619.0,80444.0,53.0,57.0,80.0,140.0,2449.0,57821.0,1358.0,163.0,4777.0,0.0,0.0,41.0,9.0,5610.0,7.0,41.0,19.0,129.0,38.0,1225472.0,3872.0,16705.0,0.0,19875.0,44380.0,14656.0,2179.0,8056.0,0.0,7296.0,68261.0,454.0,16116.0,30.0,2449.0,1932.0,630.0,0.0,749.0,734.0,0.0,0.0,3237.0,11657.0,970.0,14.0,2358.0,14.0,3265.0,13318.0,190486.0,399.0,128.0,2814.0,2644.0,65.0,154.0,387.0,0.0,7.0,132.0,0.0,269.0,188399.0,0.0,3453.0,89.0,0.0,1290.0,0.0,2655.0,1916.0,671.0,446.0,0.0,328.0,11253.0,0.0,7.0,28.0,116.0,2387.0,0.0,730901.0,0.0,1966.0,0.0,422.0,80.0,235.0,8861.0,0.0,1565.0,4491.0,0.0,3148.0,125715.0,11933.0,0.0,46639.0,35013.0,1013.0,62.0,35.0,14392.0,92961.0,503.0,0.0,0.0,0.0,143.0,0.0,0.0,32.0,0.0,53.0,60.0,788.0,1651.0,3071.0,55.0,10.0,0.0,0.0,17310.0,2717.0,0.0,610.0,49504.0,444891.0,1347.0,169.0,76491.0,1126.0,712.0,129.0,6436.0,3787.0,763.0,0.0,0.0,49.0,0.0,40.0,0.0,0.0,35.0,10019.0,19680.0,0.0,44.0,0.0,75.0,22675.0,2478.0,145463.0,502536.0,7.0,824030.0,1320.0,0.0,0.0,0.0,1160.0,0.0,0.0,64.0,2511.0,2329.0
2,2021-03-31,1966853.0,235.0,66690.0,3430.0,753.0,0.0,36.0,221.0,0.0,99.0,31656.0,1995.0,78.0,209448.0,10.0,6708.0,1849.0,62.0,538.0,3693.0,63.0,1900.0,5643.0,24.0,146.0,0.0,0.0,4467.0,42.0,8636.0,1767.0,404114.0,0.0,0.0,17297.0,30.0,21.0,63.0,1680.0,7209.0,141.0,0.0,57.0,168.0,17419.0,57.0,24871.0,15.0,49.0,0.0,999.0,309.0,2804.0,741.0,41.0,143.0,43226.0,229.0,453.0,23.0,0.0,1653.0,7318.0,9424.0,1220.0,78.0,13.0,2028.0,129.0,3272.0,659692.0,451765.0,0.0,0.0,0.0,608.0,60170.0,36.0,18.0,221.0,108.0,1947.0,37476.0,1022.0,23.0,10222.0,0.0,0.0,79.0,27.0,3231.0,0.0,224.0,95.0,228.0,13.0,787810.0,3414.0,37088.0,0.0,33924.0,34843.0,17999.0,6003.0,2251.0,23.0,3548.0,76760.0,1111.0,9571.0,3.0,12980.0,17767.0,1879.0,0.0,1725.0,1526.0,0.0,0.0,2133.0,10851.0,173.0,0.0,3296.0,7.0,2295.0,14856.0,200814.0,759.0,645.0,587.0,1160.0,40.0,203.0,489.0,0.0,26.0,73.0,0.0,396.0,101375.0,0.0,7126.0,35.0,30.0,1874.0,0.0,1483.0,1059.0,56.0,700.0,0.0,177.0,6480.0,0.0,0.0,31.0,83.0,1137.0,0.0,385803.0,0.0,4360.0,0.0,296.0,55.0,678.0,10072.0,0.0,4219.0,2162.0,0.0,6037.0,145386.0,6834.0,0.0,61477.0,5181.0,505.0,186.0,375.0,20360.0,89946.0,323.0,7.0,0.0,0.0,176.0,0.0,0.0,24.0,0.0,76.0,59.0,1180.0,1388.0,5392.0,56.0,0.0,0.0,0.0,18381.0,1539.0,0.0,1889.0,21787.0,645158.0,979.0,133.0,25674.0,712.0,1258.0,54.0,4120.0,2009.0,1518.0,0.0,0.0,72.0,0.0,177.0,0.0,0.0,17.0,5829.0,18478.0,0.0,21.0,0.0,16.0,41780.0,2163.0,39250.0,261382.0,5.0,962409.0,2044.0,16.0,0.0,0.0,1528.0,0.0,0.0,1489.0,1024.0,467.0
3,2021-04-30,2521147.0,893.0,61519.0,1296.0,971.0,0.0,68.0,353.0,0.0,25.0,84373.0,4131.0,103.0,544017.0,18.0,7250.0,6526.0,65.0,798.0,16142.0,24.0,2044.0,8081.0,32.0,51.0,80.0,0.0,4807.0,36.0,14379.0,1056.0,588793.0,0.0,0.0,23794.0,76.0,0.0,520.0,2155.0,7872.0,295.0,0.0,122.0,62.0,22457.0,42.0,60812.0,0.0,69.0,0.0,1615.0,352.0,7232.0,1295.0,526.0,369.0,21108.0,170.0,457.0,501.0,0.0,1100.0,11411.0,8889.0,764.0,50.0,8.0,1583.0,32.0,5586.0,718624.0,506274.0,0.0,0.0,0.0,305.0,60196.0,70.0,0.0,192.0,73.0,2134.0,47903.0,258.0,0.0,15569.0,0.0,0.0,241.0,14.0,4521.0,0.0,153.0,40.0,421.0,30.0,704055.0,4253.0,49120.0,0.0,258363.0,31522.0,54197.0,7820.0,929.0,5.0,1457.0,84017.0,1379.0,7027.0,0.0,15358.0,4607.0,3752.0,0.0,2161.0,1736.0,0.0,0.0,1815.0,7837.0,7.0,0.0,2641.0,7.0,2374.0,19070.0,541814.0,254.0,1592.0,244.0,1412.0,39.0,651.0,238.0,0.0,145.0,46.0,42.0,101.0,57771.0,0.0,7847.0,26.0,655.0,1738.0,0.0,1419.0,341.0,14.0,840.0,0.0,1221.0,4346.0,0.0,0.0,30.0,41.0,140.0,0.0,232626.0,0.0,8200.0,0.0,591.0,242.0,2345.0,21615.0,0.0,4490.0,886.0,210.0,13608.0,163522.0,26145.0,0.0,99843.0,1012.0,1258.0,1048.0,288.0,31885.0,78828.0,204.0,0.0,0.0,0.0,98.0,7.0,0.0,3.0,0.0,42.0,7.0,1878.0,465.0,7709.0,53.0,0.0,60.0,0.0,14505.0,1546.0,0.0,1508.0,11060.0,964119.0,688.0,41.0,16464.0,633.0,1984.0,141.0,4079.0,1786.0,2251.0,0.0,0.0,496.0,21.0,103.0,0.0,0.0,124.0,11733.0,54477.0,0.0,0.0,0.0,48.0,76348.0,692.0,9275.0,148334.0,9.0,1255327.0,10191.0,138.0,0.0,0.0,3513.0,70.0,0.0,2519.0,360.0,294.0
4,2021-05-31,2751635.0,2005.0,63085.0,498.0,1612.0,0.0,19.0,1138.0,0.0,73.0,116240.0,2565.0,72.0,1175715.0,0.0,3877.0,3424.0,215.0,1930.0,9110.0,21.0,2149.0,5856.0,13.0,20.0,60.0,0.0,9620.0,13.0,5892.0,917.0,446812.0,0.0,0.0,12457.0,66.0,0.0,843.0,1292.0,9561.0,373.0,0.0,65.0,25.0,20155.0,475.0,103956.0,0.0,64.0,0.0,5220.0,120.0,7483.0,2262.0,133.0,403.0,5997.0,149.0,244.0,108.0,0.0,1125.0,14436.0,12547.0,881.0,42.0,28.0,719.0,8.0,3784.0,438794.0,280454.0,0.0,0.0,14.0,271.0,42918.0,115.0,7.0,82.0,33.0,4614.0,26231.0,42.0,0.0,13021.0,0.0,0.0,325.0,21.0,4473.0,0.0,134.0,7.0,612.0,432.0,475339.0,7612.0,18791.0,7.0,841112.0,35874.0,65396.0,6883.0,357.0,0.0,306.0,43009.0,1212.0,19345.0,0.0,5326.0,4664.0,3276.0,0.0,724.0,1597.0,0.0,18.0,1882.0,3737.0,70.0,7.0,866.0,7.0,2496.0,13457.0,1150005.0,79.0,1457.0,50.0,7833.0,570.0,309.0,16.0,0.0,169.0,49.0,8.0,17.0,31320.0,0.0,2881.0,2.0,1000.0,833.0,0.0,934.0,168.0,58.0,1208.0,0.0,26958.0,3396.0,0.0,0.0,31.0,7.0,58.0,0.0,194060.0,0.0,3280.0,0.0,271.0,963.0,3019.0,23052.0,0.0,2109.0,1018.0,900.0,19463.0,131685.0,25547.0,0.0,51608.0,397.0,1411.0,828.0,295.0,18165.0,79746.0,134.0,0.0,0.0,0.0,35.0,14.0,0.0,11.0,0.0,0.0,14.0,2766.0,229.0,3976.0,87.0,0.0,166.0,7.0,5285.0,1010.0,0.0,457.0,13814.0,879018.0,917.0,7.0,11599.0,5022.0,1942.0,499.0,2887.0,1216.0,1441.0,0.0,0.0,5461.0,85.0,23.0,0.0,0.0,1852.0,14400.0,57690.0,0.0,0.0,0.0,147.0,53534.0,633.0,3305.0,124489.0,0.0,1111879.0,11812.0,272.0,0.0,0.0,3613.0,239.0,21.0,825.0,187.0,209.0
5,2021-06-30,1970705.0,12407.0,79448.0,61.0,1665.0,0.0,0.0,980.0,0.0,0.0,96015.0,614.0,0.0,801477.0,0.0,1224.0,549.0,120.0,3071.0,11595.0,0.0,2051.0,1784.0,40.0,21.0,7.0,0.0,15782.0,0.0,3232.0,2010.0,390248.0,0.0,0.0,3326.0,14.0,14.0,2372.0,368.0,5816.0,176.0,0.0,1.0,7.0,23250.0,3848.0,119800.0,0.0,79.0,0.0,4849.0,77.0,1543.0,2166.0,26.0,111.0,785.0,921.0,138.0,12.0,0.0,1215.0,7709.0,8102.0,899.0,39.0,52.0,174.0,40.0,1299.0,205907.0,86721.0,0.0,0.0,88.0,53.0,13399.0,192.0,0.0,65.0,17.0,3843.0,3210.0,76.0,0.0,5156.0,0.0,0.0,81.0,3.0,6482.0,0.0,59.0,7.0,613.0,806.0,229145.0,4580.0,2197.0,0.0,538023.0,49614.0,30303.0,5422.0,178.0,0.0,86.0,11868.0,838.0,13210.0,0.0,2091.0,3726.0,3223.0,0.0,105.0,1178.0,180.0,3.0,1031.0,955.0,21.0,597.0,494.0,7.0,958.0,28036.0,770422.0,7.0,571.0,199.0,16612.0,390.0,69.0,17.0,0.0,31.0,166.0,6.0,15.0,21271.0,0.0,914.0,7.0,1685.0,215.0,0.0,976.0,222.0,594.0,4397.0,0.0,13717.0,933.0,0.0,0.0,30.0,7.0,339.0,0.0,125156.0,0.0,397.0,0.0,70.0,225.0,4811.0,11478.0,0.0,510.0,1064.0,106.0,24841.0,65198.0,26798.0,0.0,10265.0,419.0,322.0,253.0,294.0,20717.0,90472.0,439.0,0.0,0.0,21.0,49.0,81.0,0.0,0.0,0.0,0.0,0.0,3170.0,185.0,1443.0,114.0,89.0,24.0,33.0,1263.0,420.0,0.0,51.0,25073.0,758492.0,446.0,7.0,4795.0,10633.0,926.0,1582.0,750.0,449.0,774.0,0.0,0.0,6693.0,42.0,22.0,0.0,0.0,2568.0,14921.0,18035.0,0.0,7.0,0.0,4103.0,16781.0,872.0,2982.0,71733.0,21.0,942461.0,9928.0,298.0,0.0,0.0,3334.0,253.0,28.0,299.0,4863.0,958.0
6,2021-07-31,1838749.0,13384.0,181902.0,6.0,3081.0,0.0,1.0,759.0,0.0,7.0,53845.0,635.0,14.0,692341.0,112.0,494.0,309.0,275.0,298.0,40761.0,7.0,2182.0,474.0,33.0,26.0,0.0,7.0,8582.0,0.0,304.0,3018.0,285315.0,180.0,0.0,1276.0,7.0,5.0,5575.0,70.0,2408.0,86.0,0.0,0.0,0.0,21132.0,1123.0,110961.0,7.0,86.0,0.0,2647.0,100.0,355.0,8796.0,2.0,255.0,124.0,786.0,93.0,1.0,0.0,1069.0,68815.0,3072.0,1520.0,16.0,84.0,17.0,599.0,473.0,212899.0,33463.0,0.0,0.0,1388.0,254.0,4398.0,262.0,37.0,29.0,217.0,3391.0,930.0,192.0,0.0,1915.0,0.0,0.0,97.0,25.0,8208.0,0.0,302.0,38.0,483.0,873.0,152129.0,5493.0,275.0,0.0,186255.0,220258.0,40075.0,9467.0,145.0,5.0,284.0,3857.0,871.0,3350.0,0.0,1860.0,9059.0,2189.0,0.0,59.0,2614.0,2088.0,19.0,282.0,389.0,260.0,680.0,1663.0,0.0,177.0,46896.0,659599.0,35.0,268.0,2476.0,25127.0,78.0,41.0,21.0,0.0,74.0,404.0,8.0,0.0,48523.0,0.0,488.0,0.0,1544.0,145.0,0.0,2579.0,3288.0,34394.0,10663.0,0.0,5417.0,437.0,0.0,0.0,31.0,14.0,129.0,0.0,144055.0,0.0,56.0,0.0,101.0,1690.0,7300.0,6545.0,0.0,296.0,1844.0,128.0,17306.0,31406.0,21899.0,0.0,1906.0,1583.0,200.0,90.0,294.0,8251.0,160200.0,2473.0,0.0,0.0,0.0,28.0,24.0,0.0,0.0,0.0,0.0,0.0,3011.0,958.0,552.0,246.0,190.0,9.0,9.0,202.0,88.0,0.0,177.0,75422.0,605862.0,501.0,15.0,5498.0,9227.0,172.0,980.0,121.0,135.0,314.0,207.0,203.0,17661.0,34.0,140.0,0.0,0.0,1767.0,31898.0,10633.0,0.0,0.0,0.0,11823.0,4765.0,981.0,10437.0,59017.0,38.0,979398.0,3481.0,788.0,0.0,0.0,3294.0,4975.0,0.0,109.0,9420.0,10755.0
7,2021-08-31,2150530.0,3736.0,191359.0,202.0,7183.0,0.0,20.0,1351.0,0.0,2.0,26746.0,1471.0,161.0,980483.0,594.0,566.0,3249.0,534.0,33.0,41450.0,0.0,2242.0,937.0,152.0,139.0,0.0,7.0,4721.0,0.0,655.0,4799.0,183719.0,72.0,71.0,2632.0,14.0,9.0,3707.0,154.0,2166.0,70.0,0.0,14.0,0.0,11562.0,324.0,37761.0,0.0,38.0,0.0,3075.0,659.0,493.0,17420.0,108.0,670.0,199.0,237.0,209.0,13.0,16.0,422.0,6242.0,1444.0,2119.0,6.0,26.0,105.0,2093.0,1711.0,274448.0,64842.0,7.0,0.0,1845.0,346.0,12410.0,232.0,1693.0,13.0,732.0,9976.0,4756.0,1452.0,17.0,4600.0,0.0,0.0,1330.0,18.0,10990.0,7.0,822.0,288.0,540.0,204.0,322122.0,7727.0,234.0,9.0,106343.0,298544.0,110783.0,14985.0,487.0,58.0,3824.0,7080.0,2006.0,5136.0,54.0,2624.0,26662.0,5390.0,0.0,1020.0,821.0,1701.0,47.0,160.0,969.0,325.0,60.0,5134.0,0.0,853.0,24447.0,877527.0,34.0,68.0,4218.0,50756.0,38.0,49.0,120.0,0.0,2040.0,1074.0,64.0,7.0,149019.0,0.0,1026.0,14.0,854.0,455.0,0.0,18364.0,3491.0,47990.0,2903.0,0.0,6299.0,1298.0,0.0,0.0,31.0,20.0,1484.0,0.0,402983.0,0.0,2594.0,0.0,255.0,4150.0,1877.0,16114.0,0.0,434.0,1825.0,0.0,6646.0,14687.0,38578.0,0.0,599.0,2636.0,1832.0,8.0,426.0,1524.0,172493.0,2085.0,0.0,0.0,0.0,90.0,21.0,0.0,0.0,0.0,0.0,0.0,2303.0,3006.0,998.0,78.0,15.0,117.0,87.0,86.0,107.0,0.0,1024.0,73634.0,297107.0,1332.0,13.0,21397.0,30565.0,85.0,513.0,304.0,563.0,592.0,31.0,4376.0,45032.0,236.0,210.0,0.0,0.0,1509.0,28330.0,31338.0,0.0,14.0,0.0,2485.0,5096.0,725.0,21821.0,197896.0,115.0,922338.0,602.0,1471.0,0.0,0.0,3124.0,66814.0,0.0,516.0,1927.0,7747.0
8,2021-09-30,1848299.0,676.0,110243.0,1023.0,4382.0,0.0,0.0,2182.0,7.0,161.0,7765.0,3197.0,213.0,659733.0,2095.0,1818.0,6853.0,1141.0,8.0,10634.0,119.0,2497.0,1434.0,327.0,205.0,144.0,0.0,2336.0,5.0,4908.0,867.0,116241.0,0.0,162.0,12232.0,76.0,28.0,2747.0,779.0,5364.0,190.0,0.0,0.0,0.0,4401.0,67.0,10804.0,0.0,78.0,0.0,5632.0,1270.0,1913.0,15697.0,125.0,363.0,298.0,175.0,487.0,53.0,83.0,223.0,3847.0,3358.0,2138.0,140.0,33.0,390.0,1052.0,5521.0,343530.0,103525.0,0.0,0.0,876.0,601.0,12695.0,306.0,1583.0,109.0,141.0,11703.0,12036.0,852.0,4.0,7620.0,0.0,782.0,2056.0,306.0,11411.0,21.0,338.0,136.0,1063.0,214.0,542313.0,6362.0,781.0,12.0,69370.0,72100.0,98513.0,10883.0,1277.0,21.0,4957.0,11900.0,2585.0,11409.0,9.0,2242.0,21417.0,3080.0,0.0,3668.0,220.0,662.0,28.0,894.0,1768.0,1456.0,17.0,3125.0,7.0,2861.0,16641.0,492815.0,43.0,32.0,958.0,69121.0,38.0,66.0,130.0,0.0,1532.0,516.0,352.0,20.0,127492.0,0.0,2270.0,0.0,2399.0,1161.0,0.0,13294.0,530.0,17545.0,902.0,0.0,2943.0,1174.0,678.0,7.0,30.0,22.0,2335.0,0.0,566237.0,0.0,5924.0,0.0,373.0,5797.0,292.0,15056.0,0.0,2573.0,1201.0,252.0,3582.0,8158.0,33189.0,0.0,1758.0,1820.0,2182.0,21.0,223.0,13188.0,167284.0,1313.0,7.0,0.0,54.0,577.0,14.0,0.0,38.0,0.0,5.0,82.0,1260.0,885.0,5629.0,66.0,0.0,204.0,114.0,411.0,720.0,0.0,1111.0,42512.0,162752.0,1325.0,56.0,13468.0,29079.0,387.0,971.0,1213.0,1412.0,1488.0,0.0,307.0,38645.0,378.0,318.0,0.0,0.0,1338.0,11151.0,52338.0,0.0,18.0,0.0,1125.0,13224.0,398.0,30553.0,376735.0,123.0,792344.0,195.0,1172.0,0.0,0.0,3083.0,58946.0,0.0,1707.0,387.0,1650.0
9,2021-10-31,1508797.0,448.0,54325.0,1797.0,887.0,0.0,0.0,1428.0,0.0,238.0,2439.0,6486.0,60.0,351935.0,3451.0,2931.0,3593.0,833.0,28.0,2774.0,539.0,3306.0,2663.0,560.0,29.0,315.0,0.0,1475.0,16.0,6800.0,275.0,86675.0,0.0,146.0,19901.0,239.0,0.0,3533.0,1711.0,8367.0,98.0,0.0,0.0,0.0,1879.0,38.0,7160.0,0.0,498.0,0.0,5431.0,633.0,3669.0,6927.0,97.0,159.0,1721.0,84.0,428.0,115.0,116.0,563.0,1564.0,8730.0,2855.0,148.0,22.0,942.0,204.0,7003.0,522584.0,179186.0,0.0,0.0,489.0,1103.0,6586.0,329.0,143.0,383.0,23.0,7475.0,19790.0,194.0,7.0,7482.0,0.0,588.0,366.0,313.0,10336.0,11.0,49.0,42.0,1000.0,425.0,570200.0,3707.0,3526.0,1.0,64612.0,12126.0,44391.0,6607.0,1595.0,42.0,2605.0,8732.0,2535.0,5004.0,14.0,2162.0,8261.0,1196.0,0.0,284.0,106.0,412.0,300.0,3734.0,1303.0,257.0,11.0,3103.0,7.0,5878.0,15135.0,312590.0,104.0,25.0,152.0,21496.0,80.0,94.0,39.0,0.0,413.0,159.0,605.0,38.0,64945.0,0.0,6507.0,7.0,3285.0,1320.0,0.0,3348.0,132.0,7336.0,355.0,0.0,1949.0,1457.0,1165.0,7.0,31.0,63.0,1412.0,0.0,459484.0,0.0,3169.0,7.0,282.0,6468.0,114.0,5913.0,0.0,2511.0,765.0,893.0,472.0,6188.0,33634.0,0.0,8154.0,1386.0,576.0,33.0,67.0,67225.0,212416.0,510.0,14.0,0.0,74.0,459.0,14.0,0.0,324.0,0.0,9.0,51.0,605.0,161.0,11512.0,22.0,0.0,1982.0,86.0,2593.0,1502.0,0.0,719.0,13480.0,113987.0,2485.0,35.0,4777.0,6749.0,1343.0,1562.0,1109.0,1071.0,2297.0,0.0,42.0,18384.0,55.0,129.0,0.0,0.0,1449.0,3040.0,46243.0,0.0,3.0,0.0,405.0,64794.0,306.0,30042.0,345397.0,74.0,609604.0,159.0,652.0,0.0,0.0,3085.0,22088.0,0.0,1207.0,103.0,473.0
