,date,CanSino,Covaxin,Johnson&Johnson,Medicago,Moderna,Novavax,Oxford/AstraZeneca,Pfizer/BioNTech,SKYCovione,Sanofi/GSK,Sinopharm/Beijing,Sinovac,Sputnik V,Valneva
0,2021-01-31,3.0,99.0,3061.0,0.0,150519655.0,28.0,22105.0,481157574.0,0.0,0.0,1954.0,2715.0,6731200.0,0.0
1,2021-02-28,4.0,272.0,7950.0,0.0,718783187.0,463.0,34995025.0,1720372834.0,0.0,11.0,4178423.0,51477786.0,19697571.0,0.0
2,2021-03-31,5.0,509.0,47092901.0,0.0,1817387284.0,1260.0,481662073.0,3878920268.0,0.0,53.0,51222293.0,217680742.0,57159221.0,0.0
3,2021-04-30,13.0,847.0,203738438.0,0.0,3057874718.0,2345.0,1150392936.0,7121222494.0,0.0,60.0,106908446.0,389185830.0,143446565.0,0.0
4,2021-05-31,8.0,1319.0,358153900.0,0.0,4364550530.0,3241.0,1981519312.0,12144119711.0,0.0,62.0,176336432.0,540854323.0,235413880.0,0.0
5,2021-06-30,32.0,2073.0,670898813.0,0.0,5383137829.0,4076.0,2862075774.0,17596962856.0,0.0,60.0,213899078.0,667601740.0,312675461.0,0.0
6,2021-07-31,28.0,3053.0,904534887.0,0.0,6507127537.0,5705.0,3854127961.0,24418267430.0,0.0,62.0,335381671.0,890862635.0,395471100.0,0.0
7,2021-08-31,1165137.0,3804.0,1070809458.0,0.0,7731186542.0,7512.0,4245661211.0,29573493695.0,0.0,62.0,564895966.0,1120115561.0,441481504.0,0.0
8,2021-09-30,10093018.0,4240.0,1098484308.0,0.0,8173823866.0,8402.0,4419127587.0,31831881849.0,0.0,60.0,788787258.0,1157866586.0,495732685.0,0.0
9,2021-10-31,15179671.0,4624.0,1239538753.0,0.0,9186894122.0,9421.0,4732724732.0,36207391323.0,0.0,62.0,1055743269.0,1362398546.0,574354920.0,0.0
10,2021-11-30,16615934.0,4752.0,1210913980.0,0.0,8856108933.0,9163.0,4565651794.0,36917713042.0,0.0,60.0,1197122132.0,1484312936.0,581352858.0,0.0
11,2021-12-31,19538421.0,5149.0,1385954242.0,0.0,11372596544.0,9942.0,4724711126.0,42892786585.0,0.0,62.0,1396372620.0,1680341326.0,612070489.0,0.0
12,2022-01-31,24033669.0,4981.0,1362701402.0,0.0,13257804365.0,10269.0,4698201140.0,45848376947.0,0.0,62.0,1504450658.0,1678102018.0,646512773.0,0.0
13,2022-02-28,14542295.0,4622.0,1337491561.0,0.0,13886648562.0,487437.0,3974415311.0,44421039582.0,0.0,56.0,1585284867.0,1115591826.0,615358831.0,0.0
14,2022-03-31,18709405.0,5509.0,1622073973.0,0.0,16523716151.0,7923142.0,4333181528.0,51850418187.0,0.0,86.0,2097733683.0,1003948714.0,690333390.0,0.0
15,2022-04-30,20080333.0,4956.0,1641652659.0,0.0,16115528781.0,15387575.0,3941847081.0,50516410593.0,0.0,90.0,1989259557.0,995340405.0,670103065.0,0.0
16,2022-05-31,24313417.0,4991.0,1706423833.0,285.0,16723037283.0,18857291.0,3876887944.0,52575073905.0,0.0,93.0,2030321297.0,1012265489.0,694215669.0,0.0
17,2022-06-30,26367561.0,5006.0,1387145081.0,518.0,14639239729.0,19862580.0,3679528369.0,48399534354.0,0.0,90.0,2066820859.0,1010247187.0,673350471.0,0.0
18,2022-07-31,28567264.0,5213.0,1048297319.0,580.0,11958622270.0,23413760.0,3326472479.0,45365477287.0,0.0,93.0,1668884292.0,1043546014.0,696982534.0,0.0
19,2022-08-31,29502666.0,5084.0,1165737539.0,863.0,12318734753.0,26466972.0,3117335767.0,46262848015.0,0.0,93.0,1630742912.0,1030301090.0,698480833.0,175.0
20,2022-09-30,29223686.0,5308.0,1132386037.0,0.0,11998076286.0,27701118.0,3072084741.0,45088666143.0,1254.0,90.0,1583485861.0,257643477.0,677346773.0,20495.0
21,2022-10-31,26673104.0,5208.0,1101475132.0,0.0,12480276354.0,29486519.0,3222212818.0,46730318405.0,4853.0,93.0,1635032812.0,263199501.0,555316240.0,130455.0
22,2022-11-30,22737000.0,5040.0,1094274350.0,0.0,12600050957.0,30030673.0,2862539737.0,46743306027.0,7733.0,100.0,1583539174.0,261856142.0,553521101.0,268953.0
23,2022-12-31,9886379.0,5208.0,1097501140.0,0.0,12721009400.0,31476254.0,2978926861.0,48895755022.0,9828.0,2570.0,1610213612.0,276846141.0,285545456.0,368087.0
