,date,World,avg
0,2021-01-31,2999907.0,2999
1,2021-02-28,2253755.0,2253
2,2021-03-31,1966853.0,1966
3,2021-04-30,2521147.0,2521
4,2021-05-31,2751635.0,2751
5,2021-06-30,1970705.0,1970
6,2021-07-31,1838749.0,1838
7,2021-08-31,2150530.0,2150
8,2021-09-30,1848299.0,1848
9,2021-10-31,1508797.0,1508
10,2021-11-30,1532264.0,1532
11,2021-12-31,1529857.0,1529
12,2022-01-31,1639263.0,1639
13,2022-02-28,1999409.0,1999
14,2022-03-31,1401469.0,1401
15,2022-04-30,634253.0,634
16,2022-05-31,368820.0,368
17,2022-06-30,285863.0,285
18,2022-07-31,439359.0,439
19,2022-08-31,515702.0,515
20,2022-09-30,346258.0,346
21,2022-10-31,342996.0,342
22,2022-11-30,309412.0,309
23,2022-12-31,481745.0,481
