date,Unnamed: 0,World,avg
2021-01-31,0,2999907.0,2999
2021-02-28,1,2253755.0,2253
2021-03-31,2,1966853.0,1966
2021-04-30,3,2521147.0,2521
2021-05-31,4,2751635.0,2751
2021-06-30,5,1970705.0,1970
2021-07-31,6,1838749.0,1838
2021-08-31,7,2150530.0,2150
2021-09-30,8,1848299.0,1848
2021-10-31,9,1508797.0,1508
2021-11-30,10,1532264.0,1532
2021-12-31,11,1529857.0,1529
2022-01-31,12,1639263.0,1639
2022-02-28,13,1999409.0,1999
2022-03-31,14,1401469.0,1401
2022-04-30,15,634253.0,634
2022-05-31,16,368820.0,368
2022-06-30,17,285863.0,285
2022-07-31,18,439359.0,439
2022-08-31,19,515702.0,515
2022-09-30,20,346258.0,346
2022-10-31,21,342996.0,342
2022-11-30,22,309412.0,309
2022-12-31,23,481745.0,481
