,date,CanSino,Covaxin,Johnson&Johnson,Medicago,Moderna,Novavax,Oxford/AstraZeneca,Pfizer/BioNTech,SKYCovione,Sanofi/GSK,Sinopharm/Beijing,Sinovac,Sputnik V,Valneva
0,2021-01-31,3,99,3061,0,150519655,28,22105,481157574,0,0,1954,2715,6731200,0
1,2021-02-28,4,272,7950,0,718783187,463,34995025,1720372834,0,11,4178423,51477786,19697571,0
2,2021-03-31,5,509,47092901,0,1817387284,1260,481662073,3878920268,0,53,51222293,217680742,57159221,0
3,2021-04-30,13,847,203738438,0,3057874718,2345,1150392936,7121222494,0,60,106908446,389185830,143446565,0
4,2021-05-31,8,1319,358153900,0,4364550530,3241,1981519312,12144119711,0,62,176336432,540854323,235413880,0
5,2021-06-30,32,2073,670898813,0,5383137829,4076,2862075774,17596962856,0,60,213899078,667601740,312675461,0
6,2021-07-31,28,3053,904534887,0,6507127537,5705,3854127961,24418267430,0,62,335381671,890862635,395471100,0
7,2021-08-31,1165137,3804,1070809458,0,7731186542,7512,4245661211,29573493695,0,62,564895966,1120115561,441481504,0
8,2021-09-30,10093018,4240,1098484308,0,8173823866,8402,4419127587,31831881849,0,60,788787258,1157866586,495732685,0
9,2021-10-31,15179671,4624,1239538753,0,9186894122,9421,4732724732,36207391323,0,62,1055743269,1362398546,574354920,0
10,2021-11-30,16615934,4752,1210913980,0,8856108933,9163,4565651794,36917713042,0,60,1197122132,1484312936,581352858,0
11,2021-12-31,19538421,5149,1385954242,0,11372596544,9942,4724711126,42892786585,0,62,1396372620,1680341326,612070489,0
12,2022-01-31,24033669,4981,1362701402,0,13257804365,10269,4698201140,45848376947,0,62,1504450658,1678102018,646512773,0
13,2022-02-28,14542295,4622,1337491561,0,13886648562,487437,3974415311,44421039582,0,56,1585284867,1115591826,615358831,0
14,2022-03-31,18709405,5509,1622073973,0,16523716151,7923142,4333181528,51850418187,0,86,2097733683,1003948714,690333390,0
15,2022-04-30,20080333,4956,1641652659,0,16115528781,15387575,3941847081,50516410593,0,90,1989259557,995340405,670103065,0
16,2022-05-31,24313417,4991,1706423833,285,16723037283,18857291,3876887944,52575073905,0,93,2030321297,1012265489,694215669,0
17,2022-06-30,26367561,5006,1387145081,518,14639239729,19862580,3679528369,48399534354,0,90,2066820859,1010247187,673350471,0
18,2022-07-31,28567264,5213,1048297319,580,11958622270,23413760,3326472479,45365477287,0,93,1668884292,1043546014,696982534,0
19,2022-08-31,29502666,5084,1165737539,863,12318734753,26466972,3117335767,46262848015,0,93,1630742912,1030301090,698480833,175
20,2022-09-30,29223686,5308,1132386037,0,11998076286,27701118,3072084741,45088666143,1254,90,1583485861,257643477,677346773,20495
21,2022-10-31,26673104,5208,1101475132,0,12480276354,29486519,3222212818,46730318405,4853,93,1635032812,263199501,555316240,130455
22,2022-11-30,22737000,5040,1094274350,0,12600050957,30030673,2862539737,46743306027,7733,100,1583539174,261856142,553521101,268953
23,2022-12-31,9886379,5208,1097501140,0,12721009400,31476254,2978926861,48895755022,9828,2570,1610213612,276846141,285545456,368087
