,iso_code,continent,location,date,total_cases_per_million,total_deaths_per_million,population
0,AFG,Asia,Afghanistan,2023-10-12,5500.286,193.295,41128771.0
1,ALB,Europe,Albania,2023-10-12,117541.387,1267.979,2842321.0
2,DZA,Africa,Algeria,2023-10-12,6055.868,153.241,44903225.0
3,ASM,Oceania,American Samoa,2023-10-12,188712.044,767.581,44273.0
4,AND,Europe,Andorra,2023-10-12,601367.684,1991.408,79824.0
5,AGO,Africa,Angola,2023-10-12,2977.662,54.399,35588987.0
6,AIA,North America,Anguilla,2023-10-12,245890.282,755.81,15857.0
7,ATG,North America,Antigua and Barbuda,2023-10-12,97107.879,1556.968,93763.0
8,ARG,South America,Argentina,2023-10-12,220929.563,2866.866,45510318.0
9,ARM,Asia,Armenia,2023-10-12,161717.147,3147.307,2780469.0
10,ABW,North America,Aruba,2023-10-12,415408.749,2742.84,106445.0
11,AUS,Oceania,Australia,2023-10-12,443642.476,885.802,26177413.0
12,AUT,Europe,Austria,2023-10-12,680262.588,2520.69,8939617.0
13,AZE,Asia,Azerbaijan,2023-10-12,80438.572,997.482,10358074.0
14,BHS,North America,Bahamas,2023-10-12,92890.297,2058.592,409984.0
15,BHR,Asia,Bahrain,2023-10-12,473167.024,1043.31,1472233.0
16,BGD,Asia,Bangladesh,2023-10-12,11950.654,172.192,171186372.0
17,BRB,North America,Barbados,2023-10-12,390770.684,2201.345,281635.0
18,BLR,Europe,Belarus,2023-10-12,104251.871,746.516,9534954.0
19,BEL,Europe,Belgium,2023-10-12,413283.101,2946.056,11655930.0
20,BLZ,North America,Belize,2023-10-12,175333.407,1697.571,405272.0
21,BEN,Africa,Benin,2023-10-12,2099.624,12.207,13352864.0
22,BMU,North America,Bermuda,2023-10-12,293737.443,2569.813,64184.0
23,BTN,Asia,Bhutan,2023-10-12,80128.365,26.839,782455.0
24,BOL,South America,Bolivia,2023-10-12,98909.5,1832.771,12224110.0
25,BIH,Europe,Bosnia and Herzegovina,2023-10-12,124688.189,5057.94,3233526.0
26,BWA,Africa,Botswana,2023-10-12,125568.947,1064.517,2630296.0
27,BRA,South America,Brazil,2023-10-12,175194.534,3272.712,215313498.0
28,VGB,North America,British Virgin Islands,2023-10-12,233148.219,2042.64,31305.0
29,BRN,Asia,Brunei,2023-10-12,694014.726,363.027,449002.0
30,BGR,Europe,Bulgaria,2023-10-12,192007.762,5664.148,6781953.0
31,BFA,Africa,Burkina Faso,2023-10-12,972.754,17.465,22673762.0
32,BDI,Africa,Burundi,2023-10-12,4217.825,1.164,12889576.0
33,KHM,Asia,Cambodia,2023-10-12,8286.154,182.254,16767842.0
34,CMR,Africa,Cameroon,2023-10-12,4481.177,70.716,27914536.0
35,CAN,North America,Canada,2023-10-12,122644.322,1385.982,38454327.0
36,CPV,Africa,Cape Verde,2023-10-12,108572.363,699.64,593149.0
37,CYM,North America,Cayman Islands,2023-10-12,457961.061,538.401,68706.0
38,CAF,Africa,Central African Republic,2023-10-12,2754.363,20.254,5579144.0
39,TCD,Africa,Chad,2023-10-12,434.343,10.946,17723315.0
40,CHL,South America,Chile,2023-10-12,269787.198,3142.615,19603733.0
41,CHN,Asia,China,2023-10-12,69651.453,85.366,1425887337.0
42,COL,South America,Colombia,2023-10-12,123024.377,2755.56,51874024.0
43,COM,Africa,Comoros,2023-10-12,10885.737,191.208,836774.0
44,COK,Oceania,Cook Islands,2023-10-12,420267.731,117.426,17011.0
45,CRI,North America,Costa Rica,2023-10-12,239128.202,1819.784,5180829.0
46,HRV,Europe,Croatia,2023-10-12,316487.531,4554.927,4030358.0
47,CUB,North America,Cuba,2023-10-12,99454.451,760.779,11212191.0
48,CUW,North America,Curacao,2023-10-12,240007.742,1595.414,191163.0
49,CYP,Europe,Cyprus,2023-10-12,737554.506,1522.31,1251488.0
50,DNK,Europe,Denmark,2023-10-12,580902.167,1500.104,5882261.0
51,DJI,Africa,Djibouti,2023-10-12,13998.292,168.622,1120849.0
52,DMA,North America,Dominica,2023-10-12,216608.483,1017.07,72737.0
53,DOM,North America,Dominican Republic,2023-10-12,59407.216,390.424,11228821.0
54,ECU,South America,Ecuador,2023-10-12,59393.305,2002.277,18001000.0
55,EGY,Africa,Egypt,2023-10-12,4649.271,223.714,110990103.0
56,SLV,North America,El Salvador,2023-10-12,31849.035,667.572,6336392.0
57,GNQ,Africa,Equatorial Guinea,2023-10-12,10227.379,109.259,1674908.0
58,ERI,Africa,Eritrea,2023-10-12,2765.713,27.958,3684032.0
59,EST,Europe,Estonia,2023-10-12,454116.091,2188.431,1326062.0
60,SWZ,Africa,Eswatini,2023-10-12,62412.622,1187.504,1201670.0
61,ETH,Africa,Ethiopia,2023-10-12,4061.114,61.388,123379924.0
62,FJI,Oceania,Fiji,2023-10-12,74262.532,951.849,929766.0
63,FIN,Europe,Finland,2023-10-12,268210.141,1852.639,5540745.0
64,FRA,Europe,France,2023-10-12,603427.621,2599.316,64626628.0
65,GUF,South America,French Guiana,2023-10-12,321901.841,1356.019,304557.0
66,PYF,Oceania,French Polynesia,2023-10-12,256722.343,2118.893,306279.0
67,GAB,Africa,Gabon,2023-10-12,20507.351,128.506,2388992.0
68,GMB,Africa,Gambia,2023-10-12,4665.936,137.473,2705992.0
69,GEO,Asia,Georgia,2023-10-12,495485.64,4575.384,3744385.0
70,DEU,Europe,Germany,2023-10-12,461051.095,2098.829,83369843.0
71,GHA,Africa,Ghana,2023-10-12,5127.664,43.673,33475870.000000004
72,GIB,Europe,Gibraltar,2023-10-12,628882.7,3458.09,32649.0
73,GRC,Europe,Greece,2023-10-12,520535.058,3617.92,10384971.0
74,GRL,North America,Greenland,2023-10-12,211898.609,371.721,56466.0
75,GRD,North America,Grenada,2023-10-12,156967.615,1897.034,125438.0
76,GLP,North America,Guadeloupe,2023-10-12,513528.333,2579.833,395752.0
77,GUM,Oceania,Guam,2023-10-12,302893.767,2427.481,171774.0
78,GTM,North America,Guatemala,2023-10-12,71232.69,1134.0,17843908.0
79,GGY,Europe,Guernsey,2023-10-12,557817.114,1057.967,63301.0
80,GIN,Africa,Guinea,2023-10-12,2782.454,33.768,13859341.0
81,GNB,Africa,Guinea-Bissau,2023-10-12,4565.963,84.062,2105566.0
82,GUY,South America,Guyana,2023-10-12,90745.085,1606.228,808726.0
83,HTI,North America,Haiti,2023-10-12,2964.522,74.234,11584996.0
84,HND,North America,Honduras,2023-10-12,45489.644,1066.534,10432860.0
85,HUN,Europe,Hungary,2023-10-12,221354.842,4896.71,9967308.0
86,ISL,Europe,Iceland,2023-10-12,560848.263,498.789,372899.0
87,IND,Asia,India,2023-10-12,31752.88,375.419,1417173173.0
88,IDN,Asia,Indonesia,2023-10-12,24731.019,587.721,275501339.0
89,IRN,Asia,Iran,2023-10-12,86038.149,1653.699,88550570.0
90,IRQ,Asia,Iraq,2023-10-12,55410.332,570.274,44496122.0
91,IRL,Europe,Ireland,2023-10-12,342646.823,1841.29,5023109.0
92,IMN,Europe,Isle of Man,2023-10-12,449617.905,1372.229,84519.0
93,ISR,Asia,Israel,2023-10-12,512211.768,1343.105,9038309.0
94,ITA,Europe,Italy,2023-10-12,441798.135,3247.344,59037474.0
95,JAM,North America,Jamaica,2023-10-12,55311.238,1275.738,2827377.0
96,JPN,Asia,Japan,2023-10-12,272715.688,602.606,123951692.0
97,JEY,Europe,Jersey,2023-10-12,599218.383,1453.121,110778.0
98,JOR,Asia,Jordan,2023-10-12,154794.998,1251.299,11285869.0
99,KAZ,Asia,Kazakhstan,2023-10-12,77474.851,983.194,19397998.0
100,KEN,Africa,Kenya,2023-10-12,6366.297,105.298,54027487.0
101,KIR,Oceania,Kiribati,2023-10-12,38746.695,182.875,131232.0
102,KWT,Asia,Kuwait,2023-10-12,156104.192,602.031,4268873.0
103,KGZ,Asia,Kyrgyzstan,2023-10-12,13405.833,154.435,6630623.0
104,LAO,Asia,Laos,2023-10-12,29069.217,89.116,7529475.0
105,LVA,Europe,Latvia,2023-10-12,527551.882,3989.941,1850651.0
106,LBN,Asia,Lebanon,2023-10-12,225858.255,1994.082,5489739.0
107,LSO,Africa,Lesotho,2023-10-12,15541.502,307.482,2305825.0
108,LBR,Africa,Liberia,2023-10-12,1495.467,55.444,5302681.0
109,LBY,Africa,Libya,2023-10-12,74463.21,944.902,6812341.0
110,LIE,Europe,Liechtenstein,2023-10-12,546080.549,2210.647,39327.0
111,LTU,Europe,Lithuania,2023-10-12,483766.524,3530.835,2750055.0
112,LUX,Europe,Luxembourg,2023-10-12,593541.394,1544.161,647599.0
113,MDG,Africa,Madagascar,2023-10-12,2308.107,48.123,29611714.0
114,MWI,Africa,Malawi,2023-10-12,4360.922,131.632,20405317.0
115,MYS,Asia,Malaysia,2023-10-12,151131.427,1095.962,33938221.0
116,MDV,Asia,Maldives,2023-10-12,356423.66,603.286,523787.00000000006
117,MLI,Africa,Mali,2023-10-12,1467.54,32.885,22593590.0
118,MLT,Europe,Malta,2023-10-12,225808.327,1653.875,533286.0
119,MHL,Oceania,Marshall Islands,2023-10-12,387997.98,408.723,41569.0
120,MTQ,North America,Martinique,2023-10-12,626793.139,3003.984,367507.0
121,MRT,Africa,Mauritania,2023-10-12,13464.957,210.509,4736139.0
122,MUS,Africa,Mauritius,2023-10-12,238456.519,811.095,1299469.0
123,MYT,Africa,Mayotte,2023-10-12,128872.507,573.421,326101.0
